date,s_af,i_cfs,r_cfs
1985-01-01,244910,NA,NA
1985-01-02,NA,NA,NA
1985-01-03,NA,NA,NA
1985-01-04,NA,NA,NA
1985-01-05,NA,NA,NA
1985-01-06,NA,NA,NA
1985-01-07,244240,NA,NA
1985-01-08,NA,NA,NA
1985-01-09,NA,NA,NA
1985-01-10,NA,NA,NA
1985-01-11,NA,NA,NA
1985-01-12,NA,NA,NA
1985-01-13,NA,NA,NA
1985-01-14,243800,NA,NA
1985-01-15,NA,NA,NA
1985-01-16,NA,NA,NA
1985-01-17,NA,NA,NA
1985-01-18,NA,NA,NA
1985-01-19,NA,NA,NA
1985-01-20,NA,NA,NA
1985-01-21,242680,NA,NA
1985-01-22,NA,NA,NA
1985-01-23,NA,NA,NA
1985-01-24,NA,NA,NA
1985-01-25,NA,NA,NA
1985-01-26,NA,NA,NA
1985-01-27,NA,NA,NA
1985-01-28,243800,NA,NA
1985-01-29,NA,NA,NA
1985-01-30,NA,NA,NA
1985-01-31,NA,NA,NA
1985-02-01,NA,NA,NA
1985-02-02,NA,NA,NA
1985-02-03,NA,NA,NA
1985-02-04,244840,NA,NA
1985-02-05,NA,NA,NA
1985-02-06,NA,NA,NA
1985-02-07,NA,NA,NA
1985-02-08,NA,NA,NA
1985-02-09,NA,NA,NA
1985-02-10,NA,NA,NA
1985-02-11,NA,NA,NA
1985-02-12,244690,NA,NA
1985-02-13,NA,NA,NA
1985-02-14,NA,NA,NA
1985-02-15,NA,NA,NA
1985-02-16,NA,NA,NA
1985-02-17,NA,NA,NA
1985-02-18,241640,NA,NA
1985-02-19,NA,NA,NA
1985-02-20,NA,NA,NA
1985-02-21,NA,NA,NA
1985-02-22,NA,NA,NA
1985-02-23,NA,NA,NA
1985-02-24,NA,NA,NA
1985-02-25,236860,NA,NA
1985-02-26,NA,NA,NA
1985-02-27,NA,NA,NA
1985-02-28,234670,NA,NA
1985-03-01,NA,NA,NA
1985-03-02,NA,NA,NA
1985-03-03,232350,NA,NA
1985-03-04,NA,NA,NA
1985-03-05,NA,NA,NA
1985-03-06,NA,NA,NA
1985-03-07,NA,NA,NA
1985-03-08,NA,NA,NA
1985-03-09,NA,NA,NA
1985-03-10,229890,NA,NA
1985-03-11,NA,NA,NA
1985-03-12,NA,NA,NA
1985-03-13,NA,NA,NA
1985-03-14,NA,NA,NA
1985-03-15,NA,NA,NA
1985-03-16,NA,NA,NA
1985-03-17,226740,NA,NA
1985-03-18,NA,NA,NA
1985-03-19,NA,NA,NA
1985-03-20,NA,NA,NA
1985-03-21,NA,NA,NA
1985-03-22,NA,NA,NA
1985-03-23,NA,NA,NA
1985-03-24,226310,NA,NA
1985-03-25,NA,NA,NA
